CreditCardName,card_issuer,credit_card_id,Highlights,WelcomeOffers,applyNow,Applynowsequence,cardsequence,Apply_Link,featured_text,IssuerName,Website,URL_launch_apply,cc_applyNowWeb,Apply_Link_Web,forapplycard,url,StartingColor,EndColor,card_type,JoiningFees,RenewalFees,bsf_movies,bsf_travel,bsf_dining,bsf_fuel,bsf_shoping,id,Rewards,Movie,Dining,Travel,Lounge,Golf,Fuel,RewardRedemption
Axis Bank MY Zone Easy Credit Card,5,193,"- No interest charges for the first 50 days.
- Earn 4 edge reward points on this credit card.
- Exclusive offers and discounts on movies and dining.
- 1% fuel surcharge waiver.",,FALSE,,,,,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,FALSE,,FALSE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1709189809852240817091898098522408CreditCardImage.webp,0xffAC265C,0xff831E40,components_visa_visas,Rs. 500 + GST,Rs. 500 + GST,TRUE,FALSE,FALSE,FALSE,FALSE,163,"- 4 Edge points on every ₹ 200 spent on this credit card.
- No edge points on movies, EMI, and fuel transactions.",- 25% cashback on online and box office movie ticket purchases.,- Save up to 15% on dining bills at partner restaurants with Axis Bank Dining Delights program.,- Complimentary airport lounge access.,- 1 Complimentary domestic airport  lounge access every quarter,,"- 1% fuel surcharge waiver on fuel transaction between ₹ 400 and ₹ 4,000.","- Redeem your earned edge reward points from Axis Bank EDGE REWARDS catalog.
- 1 Edge point = ₹ 0.20."
Fibe Axis Bank RuPay Credit Card,5,576,"- This is a lifetime free credit card.
- You get 4 complimentary domestic lounge access with this card.
- Earn up to 3% on eligible spends.",,FALSE,,,,,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,FALSE,,FALSE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1697697774943677616976977749436776CreditCardImage.webp,0xffAC265C,0xff831E40,components_rupay_rupays,Nil,Nil,FALSE,FALSE,FALSE,FALSE,TRUE,523,"- Earn up to 3% on entertainment, commute and food delivery transactions.
- Get 1% cashback on all other spends. 
- Cashback is not eligible for transactions of less than Rs. 100.
- Maximum cashback amount = Rs. 1500 in a statement cycle.",- 3% Cashback on Entertainment Spends.,- 15% Off With the Axis Bank Dinning Delights Program.,- Domestic Lounge Access Available,- 4 Complimentary domestic lounge access per year.,,- 1% up to Rs. 400.,
Axis Bank ACE Credit Card,5,169,"- Earn 4% cashback on Zomato, Swiggy, etc.
- Earn 1.5 % cashback on preferred merchants and other transactions made on GPay.
- Domestic airport lounge access.
- Get a discount of 20% on dining.",,FALSE,,,https://clctab.axisbank.co.in/DigitalChannel/WebForm/?ipa21,,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,FALSE,,FALSE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1735190653453749317351906534537493CreditCardImage.webp,0xffAC265C,0xff831E40,components_visa_visas,Rs. 499 + GST,Rs. 499 + GST,FALSE,FALSE,FALSE,FALSE,TRUE,143,"- 5% cashback on bill payments and mobile recharges on Google Pay.
- 4% cashback on Swiggy, Zomato, and Ola.
- 1.5 % cashback on all other purchases (with a few exceptions).
- 1% fuel surcharge waiver with a maximum cap of ₹500 per month.
- A discount of up to 20% on dining at over 4000+ restaurants.",,-Save up to 20% on dining bills at selected restaurants under the Axis Bank Dining Delights Program.,- Domestic airport lounge access.,"- 4 domestic lounge access every year. (on spending a minimum Rs. 50,000 in the previous 3 months)",,"- 1% fuel surcharge waiver on fuel transactions between ₹ 400 and ₹ 4,000.",- Earned cashback is automatically credited to the cardholder's accounts.
Axis Bank Select Credit Card,5,172,"- Earn 20 EDGE Points per Rs. 200 you spend with the card up to cumulative spends of Rs. 20,000 per month.
- Earn 10 Edge points on spending Rs. 200 on this credit card.
- Spend based 12 international airport lounges annually with a Priority Pass membership.
- spend based 2 domestic lounge visits (every quarter).
- Get a flat discount of Rs. 200 on your Swiggy orders when you make a minimum transaction of Rs. 1000.
- Buy 1 movie ticket and get up to Rs. 300 off on the second ticket on BookMyShow.","- Get 10,000 EDGE REWARD POINTS on your first transaction of Rs. 2000.",TRUE,33,,https://web.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=apx{param},Get EDGE Reward Points,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,FALSE,https://clctab.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=lgx{param},TRUE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1735190909141244317351909091412443CreditCardImage.jpeg,0xffAC265C,0xff831E40,components_visa_visas,"Rs. 3,000 + GST","Rs. 3,000 + GST",TRUE,TRUE,TRUE,FALSE,TRUE,146,"- 20 Edge points on spending ₹ 200 on retail shopping.
- 10 Edge points on spending ₹ 200 on this credit card.",- Buy 1 movie ticket and get a discount of ₹ 300 on the second ticket from BookMyShow.,"- Save up to 20% on dining bills at selected partner restaurants.
- 40% off up to ₹ 200 on food delivery order above Rs. 1000 from Swiggy per transaction.",- Airport lounge access.,"- 8 domestic lounge access every year. (on spending a minimum Rs. 50,000 in the previous 3 months)
- 12 international lounge access every year under Priority Pass Membership. (on spending a minimum Rs. 50,000 in the previous 3 months)","- 6 complimentary golf rounds every financial year.
- 6 additional golf rounds on spending minimum of ₹ 3 lakhs in a year ","- 1% fuel surcharge waiver on fuel transactions between ₹ 400 and ₹ 4,000. ","-  EDGE Points earned redeemable on the EDGE Rewards portal for travel/shopping vouchers and product purchases (from the given catalog).
- 1 EDGE Point = Rs. 0.20. "
Axis Bank Vistara Credit Card,5,180,"- Earn 2 Club Vistara points on every ₹ 200 spent on this credit card. 
- Enjoy 20% off on dining at partner restaurants.
- Complimentary airport lounge access.
- Get 3 economy class tickets on reaching the milestone spending. 
- 1,000 bonus CV points on spending ₹ 50,000 within 90 days of card issuance.",- Get 1 complimentary economy class ticket voucher as a welcome offer.,TRUE,9,,https://web.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=apx{param},Get Club Vistara Points,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,FALSE,https://clctab.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=lgx{param},TRUE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1735191329793414117351913297934141CreditCardImage.jpeg,0xffAC265C,0xff831E40,components_visa_visas,"Rs. 1,500 + GST","Rs. 1,500 + GST",FALSE,TRUE,FALSE,FALSE,FALSE,153,- 2 club vistara point on every ₹ 200 spent on this credit card.,,- 25% discount up to Rs. 800 at restaurants with the Axis Bank EazyDiner Program.,- Club Vistara Base Membership and complimentary domestic lounge access every quarter.,- 2 complimentary domestic lounge access per quarter.,,- 1% fuel surcharge applicable.,- Club Vistara Points you earn can be redeemed easily by logging in to the Club Vistara official website.
Axis Bank Vistara Infinite Credit Card,5,184,"- Complimentary Business Class ticket voucher as a welcome benefit.
- Business Class ticket voucher every time the membership is renewed.
- Complimentary Club Vistara Gold membership.
- 6 Club Vistara Points every time you spend Rs. 200.
- Additional Club Vistara Points and up to 4 Business Class tickets under the milestone benefits.
- Spend Based Domestic lounge Access at select airports in India participating in the Visa Lounges program.
- Up to 40% discount up to Rs. 1000 at partner restaurants across India as a part of Axis Bank’s EazyDiner program.",- 1 Complimentary Business Class ticket voucher.,TRUE,11,,https://web.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=apx{param},Get Club Vistara Points,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,TRUE,https://clctab.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=lgx{param},TRUE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1735191513348173817351915133481738CreditCardImage.jpeg,0xffAC265C,0xff831E40,components_visa_visas,"Rs. 10,000 + GST","Rs. 10,000 + GST",FALSE,TRUE,FALSE,FALSE,FALSE,155,"- 6 club vistara point on every ₹ 200 spent on this credit card.
",,- Get up to 40% discount up to Rs. 1000 on partner restaurants all over India under Axis Bank’s EazyDiner program.,"- Domestic airport lounge access. 
- Club Vistara Gold Membership","- 8 domestic lounge access every year. (on spending a minimum Rs. 50,000 in the previous 3 months)",- 6 complimentary golf sessions.,"- 1% fuel surcharge waiver on fuel transactions between ₹ 400 and ₹ 4,000.","- Club Vistara Points can be used for booking award flights, class upgrades, or seat reservation under the Vistara Cash + Points program (1 CV Point = Rs. 0.2)"
Axis Bank AURA Credit Card,5,187,"- 4  free video doctor consultations per month on Practo.
- 4 interactive video fitness sessions and 16 recorded sessions per month via Fitternity.
- Annual discount of up to Rs. 500 on health check ups.
- Minimum 30% discount on nutritional/diet consultations from partner nutritionists.
- Minimum 30% discount on nutritional food.
- 2 EDGE Points per Rs. 200 spent with the card.
- Accelerated (5X) EDGE Points per Rs. 200 spent with the card.",- Get a welcome offer of Decathlon voucher worth Rs. 750.,TRUE,23,,https://web.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=apx{param},Get EDGE Reward Points,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,TRUE,https://web.axisbank.co.in/DigitalChannel/WebForm/?ipa21&axisreferralcode=webs,TRUE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1703675332581035817036753325810358CreditCardImage.webp,0xffAC265C,0xff831E40,components_visa_visas,Rs. 749 + GST,Rs. 749 + GST,FALSE,FALSE,FALSE,FALSE,TRUE,158,"- 5x (10 ) Edge points on every ₹ 200  spent on insurance transactions (minimum transaction value is Rs. 10,000).
- 2 Edge points on every ₹ 200 spent on this credit card.",,- Save up to 20% on dining bills at partner restaurants under Axis Bank Dining Delights program.,,,,"- 1% fuel surcharge waiver on fuel transactions between ₹ 400 and ₹ 4,000.","- Redeem your earned edge reward points from Axis Bank EDGE REWARDS catalog.
- 1 Edge point = ₹ 0.20."
Axis Bank Vistara Signature Credit Card,5,183,"- Complimentary Club Vistara Silver Membership.
- 3 Rounds of Golf at some of India’s most premium Golf destinations.
- Domestic airport lounge access at select airports across India (max 2 per quarter).
- 4 Club Vistara (CV) Points for every Rs 200 spent with the Axis Bank Vistara Signature Credit Card.
- 25% discount up to Rs. 800 at various restaurants across India with Axis Bank’s EazyDiner Program.",- 1 complimentary Premium Economy Class air ticket and Club Vistara Silver Membership,TRUE,10,,https://web.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=apx{param},Get Club Vistara Points,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,TRUE,https://clctab.axisbank.co.in/DigitalChannel/WebForm/?ipa41&axisreferralcode=lgx{param},TRUE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1735533353931893417355333539318934CreditCardImage.webp,0xffAC265C,0xff831E40,components_visa_visas,"Rs. 3,000 + GST","Rs. 3,000 + GST",FALSE,TRUE,FALSE,FALSE,FALSE,154,- 4 club vistara point on every ₹ 200 spent on this credit card.,,- 25% discount up to Rs. 800 at various restaurants across India with Axis Bank’s EazyDiner Program.,"- Domestic airport lounge access. 
- Club Vistara Silver membership","- 8 domestic lounge access every year. (on spending a minimum Rs. 50,000 in the previous 3 months)",- 3 complimentary golf sessions.,- 1% of transaction amount,"- Club Vistara Points can be spent on booking award flights, class upgrades, or against any seat reservation under the Vistara Cash + Points program (1 CV Point = Rs. 0.20)"
Axis Bank Magnus Credit Card,5,348,"- Rs. 12,500 worth gift voucher from Luxe, Postcard Hotels, or Yatra as welcome benefit
- 12 Axis EDGE REWARDS Points for every Rs. 200 spent on retail purchases up to Rs. 1.5 Lakhs. Earn 35 RPs per Rs. 200 after exceeding the monthly spend of Rs. 1.5 Lakhs
- Earn 60 Axis EDGE REWARDS Points for every Rs. 200 spent on Travel Edge portal Rs. 2 Lakhs. Earn 35 RPs per Rs. 200 after exceeding the monthly spend of Rs. 2 Lakhs.
- Spend based Unlimited domestic airport lounge access every year.
- Spend based Unlimited  international lounge visits every year with Priority Pass.","- Choose a gift voucher worth Rs. 12,500 from any one of Luxe, Yatra, or Postcard Hotels",TRUE,24,,https://cardinsider.com/go/axisbank,Get EDGE Reward Points,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,TRUE,https://cardinsider.com/go/axisbank,TRUE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1703675954693814017036759546938140CreditCardImage.webp,0xffAC265C,0xff831E40,components_visa_visas,"Rs. 12,500 + GST","Rs. 12,500 + GST",FALSE,TRUE,TRUE,FALSE,TRUE,304,"- 12 EDGE Reward Points for every INR 200 on cumulative monthly spends up to Rs. 1.5 Lakhs
- 35 EDGE Reward Points per Rs. 200 on cumulative monthly spends above Rs. 1.5 Lakhs
- 60 EDGE Reward Points for every Rs. 200 spent on Travel Edge portal, up to cumulative transactions of Rs. 2 Lakhs per month.
- 35 EDGE Reward Points per Rs. 200 spent on cumulative transactions of Rs. 2 Lakhs per month.",,"- 20% discount at 4,000+ restaurants across India under the Axis Bank Dining Delights program.","- Spend Based international as well as domestic airport lounge access, airport concierge services and discounted stays at Oberoi Hotels.","- Unlimited Free Domestic Airport Lounge Access. (on spending a minimum Rs. 50,000 in the previous 3 months) and 4 complimentary visits for the guests every year.
- Unlimited international airport lounge access for primary cardholders (on spending a minimum Rs. 50,000 in the previous 3 months) and 4 complimentary visits for the guests every year with Priority Pass.",,- 1% fuel surcharge waiver at all petrol pumps across India.,- Axis EDGE REWARDS Points can be redeemed on the EDGE REWARDS portal at a value of 1 Edge Reward = Re. 0.20 or Transfer to Partner Airlines/Hotels Rewards Program.
Flipkart Axis Bank Credit Card,5,346,"- 5% cashback on Flipkart.
4% cashback on preferred partners (Swiggy, Uber, PVR and cult.fit)
- 1% cashback on all other retail spends (with a few exceptions).
- 4 domestic airport lounge access within India.
- 1% fuel surcharge waiver across petrol pumps in India for purchases worth Rs. 400 and Rs. 4,000. The maximum waiver is Rs. 400 per statement cycle.",- Introductory Benefits Worth Rs. 600 on Card Issuance,FALSE,,,https://clctab.axisbank.co.in/DigitalChannel/WebForm/?ipa21,Get ₹ 600 Cashback,Axis Bank,https://pgi.billdesk.com/pgidsk/pgmerc/axiscard/axis_card.jsp,TRUE,FALSE,,FALSE,https://cinsim.sgp1.digitaloceanspaces.com/credit_cards/1735025381183559317350253811835593CreditCardImage.webp,0xffAC265C,0xff831E40,components_visa_visas,Rs. 500 + GST,Rs. 500 + GST,FALSE,FALSE,FALSE,FALSE,TRUE,303,"- 5% cashback on shopping from Flipkart.
4% cashback on preferred partners, including Swiggy, Uber, PVR and cult.fit.
- 1% cashback on all other online and offline spends, including Myntra.",,- Up to 15% off at partner restaurants under Axis Bank's exclusive Dining Delights program.,- Domestic Airport Lounge Access.,"- 4 domestic lounge access every year. (on spending a minimum Rs. 50,000 in the previous 3 months)",,"- 1% surcharge for fuel purchases between Rs. 400 & Rs. 4,000 (max waiver capped at Rs. 400/month).",
