id,airport_city,airport_name,airport_id,lounge_name,LoungeID,lounge_timing,directions,important_information,MainSummary,Introduction,airport,LoungeNamePublic,InternationalLounge,TerminalsSelect,Location,LoungeStatus,metaTitle,metaDescription,total_rated_user,min_rated,max_rated,average_rated,total_rating_count,airportimagemap,loungeImages_0_url,loungeImages_1_url,loungeImages_2_url,amenities_id,amenities_field,amenities_order,amenities_component_type,amenities_component_id,amenities_lounge_detail_id,amenities_Food,amenities_DisabledAccess,amenities_TV,amenities_Internet,amenities_NoSmoking,amenities_SmokingArea,amenities_AlcoholicDrinks,amenities_NewspapersMagazines,amenities_WiFi,amenities_AirConditioning,amenities_Television,amenities_Shower,amenities_Spa,amenities_Printer
110,Agartala,Maharaja Bir Bikram Airport,IXA,Agartala Primus Lounge Domestic,,24 hours,"Situated at the Domestic Departures, Ground Level,  right after the Security Hold Area.","- Children under 12 years are admitted free with an adult.
- Maximum 2-hour stay.
- This lounge is only accessible for passengers departing on domestic flights.",,"Welcome to the Bhopal Primus Domestic Lounge at the Main Terminal, where luxury meets comfort. Enjoy superior amenities, relax in a quiet location, and enjoy friendly hospitality to make your domestic journey truly unforgettable.",57,Primus Lounge,,DomesticTerminal,Domestic Departure,TRUE,,,4,1,5,3.5,14,https://cinsim.sgp1.digitaloceanspaces.com/airports/1691665609043665716916656090436657mapImg.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691585498678189516915854986781895LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691585498874555116915854988745551LoungeImages_des2.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691585499053328916915854990533289LoungeImages_des3.webp,108,Amenities,1,components_lounge_amenities_amenities,108,110,FALSE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
95,Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,Ahmedabad - The Lounge International T2,5092,24 Hours,"Airside - International Departures. After Security Hold area, 1st Floor, opposite Gate 3.","- Maximum 3-hour stay.
- Children under 7 years are admitted free.",,,13,The Lounge,,Terminal2,International Departures,TRUE,,,3,1,5,3.666666667,11,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731327069962998617313270699629986mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691579427133008316915794271330083LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691579427423480316915794274234803LoungeImages_des3.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691579427286825916915794272868259LoungeImages_des2.webp,93,Amenities,1,components_lounge_amenities_amenities,93,95,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
32,Ahmedabad,Sardar Vallabhbhai Patel International Airport,AMD,Ahmedabad - The Lounge Domestic T1,5032,24 Hours,"Airside - Domestic Departures. After Security, 1st Floor and the lounge is located once crossing the Food Court.","- Access is permitted 3 hours before the scheduled flight departure.
- Children under 12 years are admitted free.",,"The lounge at Sardar Vallabhbhai Patel International Airport offers travelers a comfortable and relaxing environment with premium amenities. It provides a serene space to unwind, enjoy refreshments, and recharge before your flight.",13,The Lounge,,Terminal1,Domestic Departures,TRUE,,,8,1,5,3.25,26,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731327069962998617313270699629986mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691579405538481416915794055384814LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691579405679730116915794056797301LoungeImages_des2.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691579405808917216915794058089172LoungeImages_des3.webp,27,Amenities,1,components_lounge_amenities_amenities,27,32,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
129,Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ,Amritsar The Airr Lounge & Bar,,24 Hours,"Airside - International Departures, 1st Floor, Near Gate 6.
",,,"The Airr Lounge & Bar in Amritsar is a chic and contemporary spot known for its lively ambiance, offering a blend of music, delectable food, and signature cocktails. It's a popular choice for both locals and visitors looking to enjoy a vibrant night out in the heart of the city.",7,The Airr Lounge & Bar,,InternationalTerminal,Amritsar Sri Guru Ram Dass Jee Intl,TRUE,,,0,0,0,0,0,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731327206791485017313272067914850mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1731327792837145417313277928371454LoungeImages_des1.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1731327793308890217313277933088902LoungeImages_des2.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1731327793497805317313277934978053LoungeImages_des3.jpeg,127,Amenities,1,components_lounge_amenities_amenities,127,129,TRUE,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
64,Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ,Amritsar Primus Lounge Domestic,5064,24 hours,Airside - Domestic Departures. After Security Checks Proceed to the 2nd Floor,"- Children under 12 years are admitted free with an adult.
- Maximum 2-hour stay.
- This lounge is only accessible for passengers departing on domestic flights.",,"Amritsar Primus Lounge Domestic T1 welcomes you with comfort and luxury. Enjoy premium facilities, relax in style, and enjoy warm hospitality to make your domestic travel experience genuinely memorable.",7,Primus Lounge,,DomesticTerminal,Domestic Departures,TRUE,,,4,1,5,2,8,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731327206791485017313272067914850mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1731329348578837217313293485788372LoungeImages_des1.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1731329349055374617313293490553746LoungeImages_des2.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1731329349262051217313293492620512LoungeImages_des3.jpeg,64,Amenities,1,components_lounge_amenities_amenities,64,64,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
98,Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ,Amritsar Costa Coffee Domestic,,24 Hours,"Airside - Domestic Departures, 1st Floor, Near Gates 3 and 4",,,"Amritsar Costa Coffee Domestic, located airside in Domestic Departures near Gates 3 and 4, offers travelers a convenient spot to grab a quality coffee and a snack before their flight. Cardholders can redeem their lounge visit entitlement here for a drink and a food item, providing a quick and satisfying takeout option within a 24-hour period.",7,Costa Coffee,,DomesticTerminal,Domestic Departures,TRUE,"Costa Coffee: Your Refreshing Stop at ATQ Domestic Terminal
","Savor the aroma of freshly brewed coffee at Costa Coffee in ATQ Domestic Terminal. Recharge with your favorite beverage before your journey.
",1,5,5,5,5,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731327206791485017313272067914850mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691582954863815016915829548638150LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691582954879465716915829548794657LoungeImages_des3.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691582954868490016915829548684900LoungeImages_des2.webp,97,Amenities,1,components_lounge_amenities_amenities,97,98,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
99,Amritsar,Sri Guru Ram Dass Jee International Airport,ATQ,Amritsar Costa Coffee international,,24 hours,"The Lounge is located on the 1st Floor, near Gates 6 and 7 in the Airside- International Departures area.",- Only 1 Card per visit per Cardholder will be accepted at the point of registration.,,,7,Costa Coffee,,InternationalTerminal,International Departures,TRUE,,,1,5,5,5,5,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731327206791485017313272067914850mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691582935529485816915829355294858LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691582935764212916915829357642129LoungeImages_des3.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691582935660233816915829356602338LoungeImages_des2.webp,98,Amenities,1,components_lounge_amenities_amenities,98,99,TRUE,TRUE,FALSE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
124,Bengaluru,Kempegowda International Airport,BLR,Bangalore - 080 Arrival Lounge Domestic T2,,24 Hours,"Airside - Domestic and in Transit Departures. After Security Checks, Level 4.","- Maximum 2 hour stay
- All cardholders and guests are required to show a Boarding Pass with confirmed same-day travel for access to the lounge.
- Children under 5 years are admitted free. ",,"With a wide range of amenities and services, including free Wi-Fi, delicious snacks and beverages, and comfortable seating, the 080 Arrival Lounge is the perfect place to recharge before continuing your travels.",3,080 Arrival Lounge,,Terminal2,International/Domestic Arrival,TRUE,,,1,5,5,5,5,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731309499601173717313094996011737mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1710738645702760817107386457027608LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1710738646192206417107386461922064LoungeImages_des3.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1710738646060219017107386460602190LoungeImages_des2.webp,122,Amenities,1,components_lounge_amenities_amenities,122,124,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
132,Bengaluru,Kempegowda International Airport,BLR,"Bangalore Kempegowda International, Terminal 1",,24 hours daily,"   Located at Airside - Domestic and in transit Departures. Level 2, above Swarovski, opposite Fossil.

",,,,3,080 Domestic Lounge,,DomesticTerminal,"Bangalore Kempegowda International, Terminal 1",FALSE,,,3,1,5,2.333333333,7,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731309499601173717313094996011737mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1728466739979000417284667399790004LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1728466740199039817284667401990398LoungeImages_des2.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1728466740343500817284667403435008LoungeImages_des3.webp,130,Amenities,1,components_lounge_amenities_amenities,130,132,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
91,Bengaluru,Kempegowda International Airport,BLR,Bangalore - 080 Domestic Lounge T1,5088,24 hours,"Situated in the Airside- Domestic and in transit Departures area. It is situated on Level 2, above the Swarovski and opposite to the Fossil.","- Children under 5 years are admitted free with an adult.
- A cinema is available.
- Access is permitted 3 hours prior to the scheduled flight departure.",,"Welcome to Bangalore - 080 Domestic Lounge T1, where you will find luxury and convenience. Enjoy premium amenities, unwind in style, and friendly hospitality to make your domestic trip truly memorable.",3,080 Domestic Lounge,,Terminal1,Domestic Terminal,TRUE,,,6,1,5,4.333333333,26,https://cinsim.sgp1.digitaloceanspaces.com/airports/1731309499601173717313094996011737mapImg.jpeg,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691572849683935416915728496839354LoungeImages_des1.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691572849996199116915728499961991LoungeImages_des3.webp,https://cinsim.sgp1.digitaloceanspaces.com/lounges/1691572849856412116915728498564121LoungeImages_des2.webp,90,Amenities,1,components_lounge_amenities_amenities,90,91,TRUE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
